year,month,date,value
2001,3,2,108.46
2001,3,3,104.34
2001,3,4,85.57
2001,3,5,98.04
2001,3,6,102.08
2001,3,7,95.82
2001,3,8,103.87
2001,3,9,106.39
2001,3,10,106.13
2001,3,11,108.95
2001,3,12,106.69
2001,3,13,104.19
2001,3,14,98.13
2001,3,15,111.69
2001,3,16,116.93
2001,3,17,120.89
2001,3,18,118.39
2001,3,19,116.57
2001,3,20,80.34
2001,3,21,95.96
2001,3,22,81.6
2001,3,23,121.19
2001,3,24,120.83
2001,3,25,119.84
2001,3,26,123.73
2001,3,27,123.17
2001,3,28,111.69
2001,3,29,109.55
2001,3,30,111.3
2001,3,31,116.86
2001,4,1,122.78
2001,4,2,124.31
2001,4,3,125.52
2001,4,4,129.38
2001,4,5,109.11
2001,4,6,122.06
2001,4,7,119.52
2001,4,8,126.42
2001,4,9,120.13
2001,4,10,121.23
2001,4,11,118.72
2001,4,12,105.16
2001,4,13,86.17
2001,4,14,107.24
2001,4,15,88.2
2001,4,16,105.1
2001,4,17,66.96
2001,4,18,115.15
2001,4,19,128.05
2001,4,20,131.71
2001,4,21,137.45
2001,4,22,139.27
2001,4,23,138.72
2001,4,24,129.42
2001,4,25,130.89
2001,4,26,127.62
2001,4,27,127.4
2001,4,28,132.82
2001,4,29,125.14
2001,4,30,131.24
2001,5,1,131.98
2001,5,2,133.95
2001,5,3,128.48
2001,5,4,133.42
2001,5,5,140.05
2001,5,6,129.73
2001,5,7,127.88
2001,5,8,103.08
2001,5,9,133.12
2001,5,10,132.26
2001,5,11,129.19
2001,5,12,136.93
2001,5,13,130.3
2001,5,14,82.86
2001,5,15,132.22
2001,5,16,126.5
2001,5,17,103.43
2001,5,18,115.72
2001,5,19,93.72
2001,5,20,111.8
2001,5,21,124.42
2001,5,22,129.86
2001,5,23,133.7
2001,5,24,128.73
2001,5,25,125.55
2001,5,26,112.8
2001,5,27,128.05
2001,5,28,115.91
2001,5,29,92.16
2001,5,30,118.61
2001,5,31,116.91
2001,6,1,112.63
2001,6,2,72.75
2001,6,3,110.63
2001,6,4,92.59
2001,6,5,110.7
2001,6,6,127.62
2001,6,7,119.43
2001,6,8,110.24
2001,6,9,127.59
2001,6,10,123.38
2001,6,11,124.27
2001,6,12,139.05
2001,6,13,137.55
2001,6,14,119.66
2001,6,15,127.79
2001,6,16,126.39
2001,6,17,111.18
2001,6,18,56.43
2001,6,19,121.97
2001,6,20,128.6
2001,6,21,117.21
2001,6,22,80.48
2001,6,23,55.73
2001,6,24,87.37
2001,6,25,52.57
2001,6,26,44.51
2001,6,27,97.2
2001,6,28,126.87
2001,6,29,88.23
2001,6,30,106.53
2001,7,1,131.98
2001,7,2,110.95
2001,7,3,133.22
2001,7,4,140.3
2001,7,5,128.65
2001,7,6,135.09
2001,7,7,63.61
2001,7,8,119.83
2001,7,9,139.25
2001,7,10,131.98
2001,7,11,95.42
2001,7,12,118.46
2001,7,13,118.04
2001,7,14,36.19
2001,7,15,39.07
2001,7,16,65.02
2001,7,17,72.35
2001,7,18,130.76
2001,7,19,100.4
2001,7,20,79.26
2001,7,21,85.96
2001,7,22,119.7
2001,7,23,122.37
2001,7,24,116.8
2001,7,25,117.84
2001,7,26,72.71
2001,7,27,76.95
2001,7,28,76.56
2001,7,29,65.16
2001,7,30,102.66
2001,7,31,108.88
2001,8,1,116.16
2001,8,2,109.97
2001,8,3,69.81
2001,8,4,113.11
2001,8,5,126.51
2001,8,6,101.53
2001,8,7,115.67
2001,8,8,67.02
2001,8,9,93.62
2001,8,10,131.73
2001,8,11,128.74
2001,8,12,113.43
2001,8,13,45.97
2001,8,14,123.96
2001,8,15,134.55
2001,8,16,109.41
2001,8,17,104.95
2001,8,18,83.53
2001,8,19,67.64
2001,8,20,101.87
2001,8,21,99.35
2001,8,22,107.72
2001,8,23,100.6
2001,8,24,104.7
2001,8,25,113.84
2001,8,26,114.66
2001,8,27,126.38
2001,8,28,122.17
2001,8,29,107.33
2001,8,30,118.73
2001,8,31,110.91
2001,9,1,101.52
2001,9,2,73.4
2001,9,3,84.19
2001,9,4,106.11
2001,9,5,97.27
2001,9,6,107.77
2001,9,7,106.37
2001,9,8,100.2
2001,9,9,106.62
2001,9,10,112.92
2001,9,11,108.69
2001,9,12,93.96
2001,9,13,92.74
2001,9,14,106.22
2001,9,15,113.87
2001,9,16,117.98
2001,9,17,118.97
2001,9,18,111.44
2001,9,19,112.51
2001,9,20,114.66
2001,9,21,110.13
2001,9,22,105.62
2001,9,23,103.29
2001,9,24,102.14
2001,9,25,99.39
2001,9,26,97.66
2001,9,27,106.99
2001,9,28,103.16
2001,9,29,83.51
